"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"757",2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2
"762",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"765",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
"772",1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2
"774",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"776",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"783",1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2
"784",1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2
"786",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2
"794",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"796",2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
"802",1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2
"803",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"804",2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2
"805",1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2
"812",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"826",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"827",1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2
"830",1,1,2,2,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2
"836",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
"837",1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
"838",2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"841",2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"843",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"844",2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2
"845",1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"847",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"850",2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"852",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"853",1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2
"854",1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2
"871",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"873",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"878",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
"880",2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"881",1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2
"884",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"887",1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2
"888",2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"892",2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2
"895",2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"896",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"899",1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"904",1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"905",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"911",1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2
"918",1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"928",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"930",1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"931",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"933",1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"936",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"938",2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"939",1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2
"940",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"946",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"947",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"949",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"951",1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2
"968",1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"976",1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"979",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2
"1003",1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"1009",1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"1012",1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2
"1015",2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2
"1019",2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"1023",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1024",1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2
"1026",2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
"1028",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1030",1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"1031",2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2
"1032",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
"1033",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2
"1036",1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2
"1037",1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
"1038",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"1039",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1040",2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"1045",1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2
"1046",1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2
"1048",2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2
"1049",2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"1052",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1054",1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2
